model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,roc_auc_ovr_macro
RandomForest,0.9915730337078652,0.9923492447135038,0.993292302026435,0.9923492447135038,0.9928016596081395,0.9998636257716592
LogReg_L2,0.9925093632958801,0.9929864414628774,0.9923791308265162,0.9929864414628774,0.9926357512198614,0.999951976781577
LogReg_L1,0.9906367041198502,0.9912546631634829,0.9905951899287165,0.9912546631634829,0.9908952710595671,0.999920359749044
Dummy_majority,0.18726591760299627,0.1,0.018726591760299626,0.1,0.031545741324921134,0.5
