class,precision,recall,f1-score,support
BRCA,0.9800995024875622,0.985,0.9825436408977556,200.0
COAD,1.0,1.0,1.0,90.0
HNSC,0.9714285714285714,0.9807692307692307,0.9760765550239234,104.0
KIRC,0.9906542056074766,0.9906542056074766,0.9906542056074766,107.0
LIHC,1.0,0.9864864864864865,0.9931972789115646,74.0
LUAD,1.0,0.9805825242718447,0.9901960784313726,103.0
PRAD,1.0,1.0,1.0,99.0
STAD,1.0,1.0,1.0,83.0
THCA,1.0,1.0,1.0,101.0
UCEC,0.9907407407407407,1.0,0.9953488372093023,107.0
accuracy,0.9915730337078652,0.9915730337078652,0.9915730337078652,0.9915730337078652
macro avg,0.993292302026435,0.9923492447135038,0.9928016596081395,1068.0
weighted avg,0.9916270891248531,0.9915730337078652,0.9915822192896271,1068.0
