model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_ovr_macro
LogReg_L2,0.9663120567375887,0.9621606921497913,0.9614424341414687,0.9621606921497913,0.9614866778204941,0.9667381703393242,0.9663120567375887,0.9662539330011921,0.9985880076352338
RandomForest,0.9633569739952719,0.9542312676805412,0.9598558074948015,0.9542312676805412,0.9556981312487605,0.9648544772752008,0.9633569739952719,0.9631967571789211,0.9986821466171962
LogReg_L1,0.9615839243498818,0.9586502891325853,0.9527645362682116,0.9586502891325853,0.9552838633623045,0.9623713426162398,0.9615839243498818,0.9616700573905997,0.9967813376393245
MLP,0.9497635933806147,0.949613496227785,0.9396691067148213,0.949613496227785,0.9432339119715415,0.9525216850839703,0.9497635933806147,0.9501918330144613,0.998398848607024
Dummy_majority,0.1182033096926714,0.05,0.00591016548463357,0.05,0.010570824524312896,0.013972022422301583,0.1182033096926714,0.024990128899084862,0.5
