class,rank,gene,coef,class_direction_score,abs_coef
BLCA,1,KLHDC7B,0.10675730952703606,0.10675730952703606,0.10675730952703606
BLCA,2,WNT5A,0.10261992669825712,0.10261992669825712,0.10261992669825712
BLCA,3,PLBD1,0.09613396010712094,0.09613396010712094,0.09613396010712094
BLCA,4,NET1,0.09487557591036216,0.09487557591036216,0.09487557591036216
BLCA,5,MBOAT7,0.09301589537603643,0.09301589537603643,0.09301589537603643
BLCA,6,THBD,0.09290211719507326,0.09290211719507326,0.09290211719507326
BLCA,7,CYP4B1,0.09176340562356085,0.09176340562356085,0.09176340562356085
BLCA,8,PLAT,0.08867310697638765,0.08867310697638765,0.08867310697638765
BLCA,9,WDR72,0.0857291571477331,0.0857291571477331,0.0857291571477331
BLCA,10,RALBP1,0.08560393878871754,0.08560393878871754,0.08560393878871754
BLCA,11,SNCG,0.08360089238858548,0.08360089238858548,0.08360089238858548
BLCA,12,PPARG,0.08272967746962215,0.08272967746962215,0.08272967746962215
BLCA,13,SHISA5,0.08153472719882612,0.08153472719882612,0.08153472719882612
BLCA,14,PADI3,0.0805534057974243,0.0805534057974243,0.0805534057974243
BLCA,15,RCN1,0.08017819025302216,0.08017819025302216,0.08017819025302216
BRCA,1,GABRP,0.10600756450710566,0.10600756450710566,0.10600756450710566
BRCA,2,MGP,0.09847153571300321,0.09847153571300321,0.09847153571300321
BRCA,3,SFRP1,0.09811686472891289,0.09811686472891289,0.09811686472891289
BRCA,4,ELF5,0.09416613447999139,0.09416613447999139,0.09416613447999139
BRCA,5,MMP9,0.09230293502017596,0.09230293502017596,0.09230293502017596
BRCA,6,ADIPOQ,0.09065096614058535,0.09065096614058535,0.09065096614058535
BRCA,7,EFHD1,0.08861846982067781,0.08861846982067781,0.08861846982067781
BRCA,8,TFAP2A,0.08800524670961783,0.08800524670961783,0.08800524670961783
BRCA,9,C8orf85,0.08468523700281855,0.08468523700281855,0.08468523700281855
BRCA,10,TRPS1,0.08171695434285259,0.08171695434285259,0.08171695434285259
BRCA,11,TFAP2B,0.08145618347999752,0.08145618347999752,0.08145618347999752
BRCA,12,ETV6,0.0810706440702313,0.0810706440702313,0.0810706440702313
BRCA,13,GATA3,0.08014421325516233,0.08014421325516233,0.08014421325516233
BRCA,14,TMPRSS3,0.07786013876447673,0.07786013876447673,0.07786013876447673
BRCA,15,SOX10,0.07587532695754372,0.07587532695754372,0.07587532695754372
CESC,1,XIST,0.1954569986763828,0.1954569986763828,0.1954569986763828
CESC,2,CDKN2A,0.16626891405309951,0.16626891405309951,0.16626891405309951
CESC,3,SERPINB3,0.15715487021130448,0.15715487021130448,0.15715487021130448
CESC,4,SERPINB4,0.1411649668516291,0.1411649668516291,0.1411649668516291
CESC,5,DDX3X,0.13268427740439304,0.13268427740439304,0.13268427740439304
CESC,6,KDM5C,0.11930323845857757,0.11930323845857757,0.11930323845857757
CESC,7,SERPINB13,0.11846815280387027,0.11846815280387027,0.11846815280387027
CESC,8,MUC12,0.11812510361633549,0.11812510361633549,0.11812510361633549
CESC,9,HR,0.11094160890831077,0.11094160890831077,0.11094160890831077
