true_class,predicted_class,count,error_rate_within_true_class
STAD,ESCA,14,0.1686746987951807
LUSC,LUAD,11,0.11
ESCA,STAD,3,0.08108108108108109
KIRP,KIRC,4,0.06896551724137931
HNSC,CESC,5,0.04807692307692308
KIRC,KIRP,5,0.04672897196261682
HNSC,LUSC,4,0.038461538461538464
CESC,HNSC,2,0.03278688524590164
CESC,UCEC,2,0.03278688524590164
LUSC,CESC,3,0.03
LUAD,LUSC,3,0.02912621359223301
PAAD,LUAD,1,0.02857142857142857
