gene,max_abs_coef
ANXA2P2,1.6071820201740241
ANXA2,1.4688398669979392
RPL17,1.284978867636441
EIF5AL1,1.2036238820644838
HOXB13,1.170594664349414
PDIA3P,1.1088505021268888
SLC43A3,0.9969358078406761
PDIA3,0.9648333361376623
KRT5,0.9533684685571412
RPS4Y1,0.9233442129108347
MORF4L1,0.8919532039551125
TSHR,0.8788804963322995
EFHD1,0.8555526055334319
NKX3-1,0.8216454030062845
GATA3,0.821170010523969
UBC,0.7925971312135446
CHMP4B,0.7602378298995643
MGP,0.7451380595830722
MSX1,0.7403835470274442
WT1,0.727377983590617
GKN1,0.7166343832021422
PRLR,0.690237548168918
FTH1,0.6844371592386053
ABCC8,0.6837323538945357
RCC1,0.6563461792270509
NDUFA4L2,0.6562615711847645
H3F3A,0.6505629259996755
SF1,0.6438466945792771
NOMO3,0.6398221416808513
CENPF,0.6350416813240666
CYS1,0.6273705415482981
INTS1,0.6135096625728578
NOX1,0.6114688580817264
EIF4H,0.594578462825185
CSNK2B,0.5878658129874572
LOC642587,0.5824614375951046
FUT3,0.5783774177931997
COX7A2L,0.5764265058403093
ZMIZ2,0.5711128941023704
EIF5B,0.5706034018770131
SCGB1A1,0.5697476845133771
XBP1,0.5675677353934903
PLUNC,0.5668448028146673
CHGA,0.5642159388147351
PVRL1,0.5608053486500072
GREM1,0.554231618235282
ZSCAN18,0.5523845514525194
XIST,0.5512284982291121
RPL18A,0.544936815144805
EEF1A1P9,0.5443943384970831
ZFP36L1,0.5393838194585537
C8orf85,0.5359869781634036
NEBL,0.5357150495817907
SFTA2,0.5317589017154303
GLIS2,0.5298313109431066
MALAT1,0.52954843515693
SSB,0.5264321765576668
CFTR,0.5251504401054486
WDR72,0.5198013180767603
PXDN,0.5196127116047367
SAT1,0.5165374178167593
RAB1A,0.5100564995843283
ENPP3,0.5091877757187033
CCDC72,0.5052505814875883
NAP1L4,0.5027416821993754
S100A10,0.5000239630143828
CHRNA3,0.49307217897920824
BCAT2,0.4901136443927885
DLX5,0.48720790650611046
CAB39,0.48693677575756206
C1orf144,0.48021144279141303
LDOC1,0.47803304884693915
ECT2,0.4744808909687348
FOXE1,0.4723662304999491
PTMA,0.46774294505686653
UBB,0.46306983841382815
MLL3,0.46211358745001285
CYP4B1,0.46091729702644235
DOK4,0.4578880138429588
PIGR,0.4578675844235514
RNF43,0.4512204655312397
ANP32A,0.4500728571084735
COL10A1,0.44831055072662096
ZBED2,0.44736982085952676
RPS7,0.44709934021736536
NKX2-1,0.44581263059131454
TNRC18,0.4454487506601342
FLRT3,0.4451444801611664
ATP2C1,0.4424234039495517
POMP,0.4418459918498266
REC8,0.44112607584476027
ITPR3,0.4368048506868253
KIAA0247,0.4358516910016661
PCBP2,0.43461377143267493
FCGR2A,0.4336673119101596
ADAM10,0.4310289738199481
SF3B1,0.4305140824570604
GGT5,0.43008794034251324
ENPEP,0.42528468853161105
NCOR2,0.4252435277948639
SERPINB3,0.4221376217835432
CD4,0.4217070175577028
PRIC285,0.4211051897804621
EXT1,0.42091315335013296
TFAP2A,0.41981843837705335
