rank,gene,importance
1,SOX17,0.006292018502076069
2,TSHR,0.005762619182116791
3,ACSM2B,0.005149354138046327
4,PAX8,0.004841507766558568
5,SFTPA1,0.004805009992116091
6,NKX2-1,0.004425987770331128
7,SFTPB,0.004100095394739159
8,CELA3A,0.004020817558884202
9,KCNJ16,0.004009333756095308
10,KLK3,0.0037341266854922454
11,SFTA3,0.00356881327909804
12,ELF3,0.0034090028653583028
13,INS,0.003363200681902476
14,SLC17A3,0.0031245282372535073
15,SLC22A6,0.0031106873790330497
16,CDX2,0.003099892102437428
17,TG,0.003069497690397228
18,GCG,0.0030662386265326636
19,GATA3,0.0029131453526927554
20,SCGB3A2,0.0028748668958056404
21,GRHL2,0.002805641116954101
22,NKX3-1,0.0027347999311083367
23,CDHR5,0.002701517383813549
24,PRLR,0.0026621937557891463
25,TRPS1,0.0026526342386917773
26,SFTPC,0.002646756108087398
27,PHOX2A,0.00263427168869963
28,EMX2OS,0.002617467092683931
29,NAPSA,0.0026143449220297405
30,SFTPA2,0.002609753077674936
