model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_ovr_macro
RandomForest,0.9645390070921985,0.9551143807155826,0.9626524844245191,0.9551143807155826,0.9577241582134329,0.9655558791753344,0.9645390070921985,0.964268402021482,0.9989425814038675
LogReg_L1,0.960401891252955,0.9583505320009229,0.9521628237488565,0.9583505320009229,0.9545759346025043,0.9614782586629663,0.960401891252955,0.9604113387030974,0.9974828303178958
LogReg_L2,0.9598108747044918,0.9530278977936483,0.9530266534556334,0.9530278977936483,0.9526271966272377,0.9603834096975301,0.9598108747044918,0.9597163873157107,0.9979983780473056
Dummy_majority,0.1182033096926714,0.05,0.00591016548463357,0.05,0.010570824524312896,0.013972022422301583,0.1182033096926714,0.024990128899084862,0.5
