true_class,predicted_class,count,error_rate_within_true_class
LUSC,LUAD,12,0.12
STAD,ESCA,9,0.10843373493975904
ESCA,STAD,4,0.10810810810810811
KIRP,KIRC,5,0.08620689655172414
CESC,UCEC,2,0.03278688524590164
HNSC,CESC,3,0.028846153846153848
PAAD,LUAD,1,0.02857142857142857
BLCA,CESC,2,0.024390243902439025
LUSC,CESC,2,0.02
LUSC,HNSC,2,0.02
HNSC,SARC,2,0.019230769230769232
KIRP,BLCA,1,0.017241379310344827
