feature_set,model,requested_top_n_genes,n_original_genes,n_genes_after_missing_variance_filter,n_features_used,missing_fraction_original,runtime_seconds,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_ovr_macro
All usable genes,LogReg_L2_saga,all,20501,20273,20273,0.01729898689443116,1161.6541851669972,0.9692671394799054,0.9654419798478522,0.9633486477367954,0.9654419798478522,0.963849439761636,0.9702898121241643,0.9692671394799054,0.9693046944906046,0.9991449266892369
"Top 2,000 variable genes",LogReg_L2_saga,2000,20501,20273,2000,0.01729898689443116,125.92277383300097,0.9598108747044918,0.955136575773798,0.9529521185235588,0.955136575773798,0.9537160428032232,0.9603478803955957,0.9598108747044918,0.9598041369709354,0.9987033918181769
