class,rank,gene,coef,class_direction_score,abs_coef
BLCA,1,CYP4B1,0.25095744514689655,0.25095744514689655,0.25095744514689655
BLCA,2,SNCG,0.201735350747752,0.201735350747752,0.201735350747752
BLCA,3,SHISA5,0.18993995052783266,0.18993995052783266,0.18993995052783266
BLCA,4,PLAT,0.18596056826042237,0.18596056826042237,0.18596056826042237
BLCA,5,RCN1,0.17837536862631412,0.17837536862631412,0.17837536862631412
BLCA,6,CEACAM7,0.17419805895317092,0.17419805895317092,0.17419805895317092
BLCA,7,NET1,0.17242005991581635,0.17242005991581635,0.17242005991581635
BLCA,8,HMGB1,0.15319519444068186,0.15319519444068186,0.15319519444068186
BLCA,9,UPK1B,0.14876071292223325,0.14876071292223325,0.14876071292223325
BLCA,10,PPP1CA,0.14417804746427806,0.14417804746427806,0.14417804746427806
BLCA,11,GJB6,0.14359463100195285,0.14359463100195285,0.14359463100195285
BLCA,12,PSCA,0.14010397800246996,0.14010397800246996,0.14010397800246996
BLCA,13,NONO,0.13981556317822452,0.13981556317822452,0.13981556317822452
BLCA,14,LCP1,0.13374027435803026,0.13374027435803026,0.13374027435803026
BLCA,15,IDH1,0.13122828906195538,0.13122828906195538,0.13122828906195538
BRCA,1,SFRP1,0.20866704388949708,0.20866704388949708,0.20866704388949708
BRCA,2,GABRP,0.2073705842136197,0.2073705842136197,0.2073705842136197
BRCA,3,MGP,0.18676205429520293,0.18676205429520293,0.18676205429520293
BRCA,4,EFHD1,0.18096900210215677,0.18096900210215677,0.18096900210215677
BRCA,5,PRLR,0.16410197104368895,0.16410197104368895,0.16410197104368895
BRCA,6,TRPS1,0.16008393886964037,0.16008393886964037,0.16008393886964037
BRCA,7,GATA3,0.15779513634765488,0.15779513634765488,0.15779513634765488
BRCA,8,VTCN1,0.14022136060166043,0.14022136060166043,0.14022136060166043
BRCA,9,XBP1,0.13995896646893244,0.13995896646893244,0.13995896646893244
BRCA,10,CDK2AP1,0.13506628585525246,0.13506628585525246,0.13506628585525246
BRCA,11,CRABP2,0.1342825257115413,0.1342825257115413,0.1342825257115413
BRCA,12,MMP9,0.1306473196174335,0.1306473196174335,0.1306473196174335
BRCA,13,TUBB3,0.1300900277845372,0.1300900277845372,0.1300900277845372
BRCA,14,FKBP4,0.12804763150191276,0.12804763150191276,0.12804763150191276
BRCA,15,COPA,0.12415301577779084,0.12415301577779084,0.12415301577779084
CESC,1,XIST,0.37431127001302295,0.37431127001302295,0.37431127001302295
CESC,2,DDX3X,0.2725869750348971,0.2725869750348971,0.2725869750348971
CESC,3,SERPINB4,0.17560778427780638,0.17560778427780638,0.17560778427780638
CESC,4,HNRNPA2B1,0.17130482325258414,0.17130482325258414,0.17130482325258414
CESC,5,SFRP1,0.16873678749541793,0.16873678749541793,0.16873678749541793
CESC,6,MCM7,0.16688171967845705,0.16688171967845705,0.16688171967845705
CESC,7,ATP2C1,0.1668413606250021,0.1668413606250021,0.1668413606250021
CESC,8,TSIX,0.16400281141594303,0.16400281141594303,0.16400281141594303
CESC,9,SFRP4,0.16279335885188154,0.16279335885188154,0.16279335885188154
CESC,10,LAPTM4B,0.16141486557245985,0.16141486557245985,0.16141486557245985
CESC,11,SERPINB3,0.1574918027130921,0.1574918027130921,0.1574918027130921
CESC,12,HSPB1,0.15318736101036892,0.15318736101036892,0.15318736101036892
CESC,13,YAP1,0.14678240872601359,0.14678240872601359,0.14678240872601359
CESC,14,F3,0.14633194486349055,0.14633194486349055,0.14633194486349055
CESC,15,HN1L,0.14587141878648482,0.14587141878648482,0.14587141878648482
COAD,1,FERMT1,0.22235473757526192,0.22235473757526192,0.22235473757526192
COAD,2,PIGR,0.1819691056639299,0.1819691056639299,0.1819691056639299
COAD,3,LGALS4,0.17776597586600987,0.17776597586600987,0.17776597586600987
COAD,4,CDH17,0.17711851544926746,0.17711851544926746,0.17711851544926746
COAD,5,EPHB3,0.17417017666074358,0.17417017666074358,0.17417017666074358
COAD,6,SOX9,0.16815442725068602,0.16815442725068602,0.16815442725068602
COAD,7,SULF1,0.13987605926036847,0.13987605926036847,0.13987605926036847
COAD,8,CEACAM5,0.1363576327056329,0.1363576327056329,0.1363576327056329
COAD,9,MLEC,0.13006781605089351,0.13006781605089351,0.13006781605089351
COAD,10,ETS2,0.126326939329772,0.126326939329772,0.126326939329772
COAD,11,HMGB1,0.1263067293124925,0.1263067293124925,0.1263067293124925
COAD,12,CANT1,0.12591073223908622,0.12591073223908622,0.12591073223908622
COAD,13,MYO1D,0.1232037217655885,0.1232037217655885,0.1232037217655885
COAD,14,TGOLN2,0.12248426516403965,0.12248426516403965,0.12248426516403965
COAD,15,TGFBR2,0.12168780081148745,0.12168780081148745,0.12168780081148745
ESCA,1,MALAT1,0.3606001883859385,0.3606001883859385,0.3606001883859385
ESCA,2,ITPR3,0.30619803777861415,0.30619803777861415,0.30619803777861415
ESCA,3,KRT5,0.30369625377110004,0.30369625377110004,0.30369625377110004
ESCA,4,RPS12,0.28802520505060103,0.28802520505060103,0.28802520505060103
ESCA,5,EIF3A,0.23999056628616416,0.23999056628616416,0.23999056628616416
ESCA,6,FABP5,0.21953262115753838,0.21953262115753838,0.21953262115753838
ESCA,7,EIF1,0.21752536911508352,0.21752536911508352,0.21752536911508352
ESCA,8,MCL1,0.19844486418156582,0.19844486418156582,0.19844486418156582
ESCA,9,DMBT1,0.195588331946045,0.195588331946045,0.195588331946045
ESCA,10,CLTC,0.19366277674300142,0.19366277674300142,0.19366277674300142
ESCA,11,NAMPT,0.18387668620362807,0.18387668620362807,0.18387668620362807
ESCA,12,DDX5,0.1776417448140656,0.1776417448140656,0.1776417448140656
ESCA,13,PLEC,0.17490845195908827,0.17490845195908827,0.17490845195908827
ESCA,14,IRAK1,0.169258832934899,0.169258832934899,0.169258832934899
ESCA,15,RPL23A,0.1659295552423396,0.1659295552423396,0.1659295552423396
HNSC,1,ANXA2P2,0.4818249525098645,0.4818249525098645,0.4818249525098645
HNSC,2,UBC,0.20278904596133687,0.20278904596133687,0.20278904596133687
HNSC,3,RPS4Y1,0.1708417038077015,0.1708417038077015,0.1708417038077015
HNSC,4,EEF1A1P9,0.16179000741382774,0.16179000741382774,0.16179000741382774
HNSC,5,RPL41,0.15252092476034537,0.15252092476034537,0.15252092476034537
HNSC,6,FAT2,0.1426813580734517,0.1426813580734517,0.1426813580734517
HNSC,7,CSTA,0.139735958042221,0.139735958042221,0.139735958042221
HNSC,8,RPL27,0.13962031302019434,0.13962031302019434,0.13962031302019434
HNSC,9,ATP1B3,0.13947862947712322,0.13947862947712322,0.13947862947712322
HNSC,10,RBM3,0.1347276828946738,0.1347276828946738,0.1347276828946738
HNSC,11,RPSAP58,0.13299260122166912,0.13299260122166912,0.13299260122166912
HNSC,12,PGAM1,0.12764138530886382,0.12764138530886382,0.12764138530886382
HNSC,13,C4orf7,0.12759021913728605,0.12759021913728605,0.12759021913728605
HNSC,14,TUBB2C,0.12667563110185528,0.12667563110185528,0.12667563110185528
HNSC,15,CD99,0.12317031876514782,0.12317031876514782,0.12317031876514782
