rank,gene,importance
1,PAX8,0.008129284934228409
2,TSHR,0.006482668161353623
3,CELA3A,0.0062344366583307505
4,TG,0.00607000410977019
5,ACSM2B,0.005696456682458167
6,SFTPB,0.005613039433141732
7,INS,0.005321464601633511
8,KLK3,0.005166419363377882
9,ACSM2A,0.005056779295452247
10,SFTPA2,0.005042935301471842
11,NAPSA,0.004928043658358152
12,SFTPA1,0.004865835299827456
13,SLC17A3,0.004824921816737599
14,SFTPC,0.004651302714135669
15,GATA3,0.004614829700953119
16,KCNJ16,0.004502990812764845
17,SCGB3A2,0.004392434980622569
18,REG3G,0.0041089470531901874
19,KLK2,0.004100182821419597
20,APOC3,0.003835146235346535
21,NAT8,0.003748443722203365
22,KRT20,0.0037026074714713287
23,SLC3A1,0.0036794717671132233
24,TRPS1,0.003671791293606565
25,SLC45A3,0.003597044088119035
26,NKX3-1,0.003596518146041549
27,IYD,0.0035653187688619585
28,FXYD2,0.0035519312834160106
29,LGALS4,0.003542468941369785
30,GPM6B,0.003534291967208901
